"","Entity","MarriageRate","FirstMarriageAge","Schoolingyear","Medianage","GDPpercapita","GDPgrowth","Mental_Disorders"
"29","Ecuador",5.349999905,22.200001,7.76111111111111,24.1045454545455,10348.9164574033,1.13797075691677,14.4925
"30","Egypt",7.199999809,22.6200006,6.16111111111111,22.2454545454545,9763.77611142113,2.30750608896571,14.3355
"31","El Salvador",3.5,22.1666666666667,6.24444444444444,23.0045454545455,7526.71586681548,0.979186841419765,13.2275
"32","Estonia",4.47777777777778,27.4117646470588,12.2888888888889,39.4318181818182,28118.173828125,3.93310633159819,12.524
"33","Fiji",8.850000381,24.1,9.80555555555556,24.0681818181818,11262.5635230655,0.853544629400685,11.4925
"34","Finland",5.15555555555556,29.9333333333333,11.6111111111111,40.7454545454545,45381.279389881,1.10489060907137,15.0755
"35","France",4.08888888888889,30.0800001333333,10.75,39.2681818181818,42505.9719122024,0.479369833888042,16.8945
"36","Georgia",6.325,23.25,12.25,34.7090909090909,9974.23935081845,5.37752126512073,11.1855
"37","Germany",4.72222222222222,29.6266667333333,13.3611111111111,42.8681818181818,48019.6199776786,1.0270188053449,15.009
"38","Greece",5,28.8833331666667,9.96111111111111,40.8181818181818,31395.2034040179,-0.0836529146347727,17.307
"39","Guatemala",4.25,21.9333336666667,4.65555555555556,19.0318181818182,7464.86897786458,1.28951381714571,13.4015
"40","Guyana",5.450000048,21.2200006,8.07222222222222,23.1409090909091,10293.8130115327,4.523868968799,15.875
"41","Honduras",2.75,20.9666666666667,5.27777777777778,19.9454545454545,4903.27683221726,1.33105451285484,12.6165
"42","Hungary",4.25,27.5000001764706,11.3277777777778,39.5909090909091,25622.509858631,2.54376928437324,11.4195
"43","Iceland",5.24166666666667,31.5583334166667,10.7777777777778,34.05,49606.1077008929,1.35012411574523,14.5485
"44","Indonesia",7.950000048,22.4166663333333,7.45,26.7272727272727,8487.21254185268,3.56624788329715,10.7895
"45","Iran",11.150000095,23.3666666666667,8.43333333333333,26.4863636363636,12586.0379929315,1.42892620251292,19.051
"46","Iraq",8.200000286,23.6199996,6.11111111111111,18.1454545454545,8926.08737909226,1.65681952096167,14.73
"47","Ireland",4.85,31.137500125,11.7388888888889,34.0090909090909,61560.7565104167,3.61988454631397,17.429
"48","Israel",6.32352941176471,24.7624999375,12.5277777777778,28.2363636363636,34156.16015625,1.58462682934034,14.547
"49","Italy",3.93333333333333,29.7999996875,9.52777777777778,42.8227272727273,42556.720610119,-0.247308599097388,14.867
"50","Japan",5.57777777777778,28.4722221666667,11.6111111111111,44.4045454545455,38857.6525297619,0.633526075453985,10.8005
"51","Jordan",10.299999715,25.2,9.87777777777778,20.6363636363636,10329.4401506696,0.704045348578975,15.223
"52","Kazakhstan",8.5500001905,22.933333,11.4333333333333,28.1954545454545,20077.4111793155,4.96793435868763,10.739
"53","Kuwait",4.5499999525,26.6000005,6.57222222222222,30.3772727272727,59873.1469494048,-0.777149914276032,13.812
"54","Kyrgyzstan",7.849999905,21.8333333333333,10.4,22.5,4175.38575381324,2.33390498161316,11.481
